==22277== NVPROF is profiling process 22277, command: ./kmeans -i ../data/data_3d_ind.txt
==22277== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22277== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.915000 ms
GPU Elapsed Time : 8568.311523 ms
==22277== Profiling result:
==22277== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_l1_write_transactions","L2 Write Transactions (L1 write requests)",8,141,48
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",407,407,407
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_l1_write_throughput","L2 Throughput (L1 Writes)",9.155282MB/s,141.819896MB/s,53.759277MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_atomic_transactions","L2 Transactions (Atomic requests)",56,2056,352
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ecc_transactions","ECC Transactions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ecc_throughput","ECC Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.436051%,0.516267%,0.480614%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",1.751159%,2.065068%,1.972550%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.034321%,0.039641%,0.037405%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.000000%,2.929957%,0.390598%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"stall_not_selected","Issue Stall Reasons (Not Selected)",0.575647%,0.661379%,0.612232%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.371871,0.388181,0.379441
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"atomic_throughput","Atomic Throughput",72.817777MB/s,5.049191GB/s,796.418370MB/s
