==21767== NVPROF is profiling process 21767, command: ./kmeans -i ../data/data_3d_ind.txt
==21767== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21767== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.919000 ms
GPU Elapsed Time : 3816.992920 ms
==21767== Profiling result:
==21767== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"alu_fu_utilization","Arithmetic Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"tex_fu_utilization","Texture Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_executed","Instructions Executed",65057,65057,65057
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_issued","Instructions Issued",68552,68552,68552
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"issue_slots","Issue Slots",59108,59108,59108
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"nc_l2_read_throughput","L2 Throughput (Non-Coherent Reads)",153.616405MB/s,153.616405MB/s,153.616405MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"nc_l2_read_transactions","L2 Non-Coherent Read Transactions",839,839,839
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"nc_cache_global_hit_rate","Non-Coherent Global Hit Rate",96.754854%,96.754854%,96.754854%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"nc_gld_throughput","Non-Coherent Global Memory Load Throughput",4.733729GB/s,4.733729GB/s,4.733729GB/s
